2to3	python2-basic
icdiff	icdiff
iceauth	os-utils-gui
icecc	icecream
icecc-create-env	icecream
icecc-scheduler	icecream
icecc-test-env	icecream
iceccd	icecream
icerun	icecream
icon-cache-update.sh	firefox
iconv	os-core
iconvconfig	os-core
iconvert	blender
icu-config	devpkg-icu4c
icuinfo	devpkg-icu4c
icupkg	devpkg-icu4c
id	os-core
identify	ImageMagick
idiag-socket-details	libnl
idiff	blender
idl2wrs	wireshark
idle	python2-basic
idle3	python3-basic
idle3.7	python3-basic
idlj	java-runtime
idlj9	java9-basic
idn	devpkg-libidn
idn2	devpkg-libidn2
iecset	alsa-utils
iex	openstack-common
ifcfg	os-core
ifconfig	net-tools
ifdata	os-testsuite-0day
ifnames	c-basic
ifnames213	c-basic-legacy
ifne	os-testsuite-0day
ifstat	os-core
iftop	iftop
iga64	hardware-gpu
igrep	blender
igzip	kvm-host-dev
iinfo	blender
ikdasm	mono
ikhal	productivity
ilasm	mono
illinkanalyzer	mono
imapfilter	mail-utils
img2simg	storage-utils
img2webp	devpkg-libwebp
imgsize	perl-extras
import	ImageMagick
import_interpolation	devpkg-libpinyin
includemocs	desktop-kde-apps
includeres	texlive
indent	c-basic
indxbib	man-pages
info	texinfo
infocmp	sysadmin-basic
infotocap	sysadmin-basic
ini-test	devpkg-exiv2
inimf	texlive
init	os-core
initdb	postgresql
initex	texlive
initra	kernel-aws
initra-aws	kernel-aws
initra-desktop	kernel-lts2017
inkscape	inkscape
inkview	inkscape
innochecksum	mariadb
inotifywait	inotify-tools
inotifywatch	inotify-tools
insert_kernel_faults.sh	ltp
insmod	os-core
install	os-core
install-info	texinfo
install-vbox-lga	kernel-lts2017
installcheck	devpkg-libsolv
installfont-tl	texlive
installkernel	kernel-install
installvst	mono
instance_events	cloud-api
instmodsh	perl-basic
integritysetup	boot-encrypted
intel-gen4asm	igt-gpu-tools
intel-gen4disasm	igt-gpu-tools
intel_aubdump	igt-gpu-tools
intel_audio_dump	igt-gpu-tools
intel_backlight	igt-gpu-tools
intel_bios_dumper	igt-gpu-tools
intel_display_crc	igt-gpu-tools
intel_display_poller	igt-gpu-tools
intel_dp_compliance	igt-gpu-tools
intel_dump_decode	igt-gpu-tools
intel_error_decode	igt-gpu-tools
intel_firmware_decode	igt-gpu-tools
intel_forcewaked	igt-gpu-tools
intel_framebuffer_dump	igt-gpu-tools
intel_gem_info	igt-gpu-tools
intel_gpu_abrt	igt-gpu-tools
intel_gpu_frequency	igt-gpu-tools
intel_gpu_time	igt-gpu-tools
intel_gpu_top	igt-gpu-tools
intel_gtt	igt-gpu-tools
intel_guc_logger	igt-gpu-tools
intel_gvtg_test	igt-gpu-tools
intel_infoframes	igt-gpu-tools
intel_l3_parity	igt-gpu-tools
intel_lid	igt-gpu-tools
intel_opregion_decode	igt-gpu-tools
intel_panel_fitter	igt-gpu-tools
intel_perf_counters	igt-gpu-tools
intel_reg	igt-gpu-tools
intel_reg_checker	igt-gpu-tools
intel_residency	igt-gpu-tools
intel_stepping	igt-gpu-tools
intel_vbt_decode	igt-gpu-tools
intel_watermark	igt-gpu-tools
interdiff	dev-utils
intltool-extract	intltool
intltool-merge	intltool
intltool-prepare	intltool
intltool-update	intltool
intltoolize	intltool
ionice	os-core
ioping	performance-tools
iostat	sysstat
iotest	devpkg-exiv2
iotop	iotop
iowatcher	performance-tools
ip	os-core
ip6tables	iptables
ip6tables-legacy	iptables
ip6tables-legacy-restore	iptables
ip6tables-legacy-save	iptables
ip6tables-nft	iptables
ip6tables-nft-restore	iptables
ip6tables-nft-save	iptables
ip6tables-restore	iptables
ip6tables-restore-translate	iptables
ip6tables-save	iptables
ip6tables-translate	iptables
ipcmk	os-core
ipcrm	os-core
ipcs	os-core
ipdb3	django
iperf3	sysadmin-basic
ipf-mod.pl	performance-tools
ipmctl	storage-utils
ipmctl-monitor	storage-utils
ipmi-chassis	sysadmin-hostmgmt
ipmi-chassis-config	sysadmin-hostmgmt
ipmi-config	sysadmin-hostmgmt
ipmi-console	sysadmin-hostmgmt
ipmi-dcmi	sysadmin-hostmgmt
ipmi-detect	sysadmin-hostmgmt
ipmi-fru	sysadmin-hostmgmt
ipmi-locate	sysadmin-hostmgmt
ipmi-oem	sysadmin-hostmgmt
ipmi-pef-config	sysadmin-hostmgmt
ipmi-pet	sysadmin-hostmgmt
ipmi-ping	sysadmin-hostmgmt
ipmi-power	sysadmin-hostmgmt
ipmi-raw	sysadmin-hostmgmt
ipmi-sel	sysadmin-hostmgmt
ipmi-sensors	sysadmin-hostmgmt
ipmi-sensors-config	sysadmin-hostmgmt
ipmiconsole	sysadmin-hostmgmt
ipmidetect	sysadmin-hostmgmt
ipmidetectd	sysadmin-hostmgmt
ipmievd	ipmitool
ipmimonitoring	sysadmin-hostmgmt
ipmiping	sysadmin-hostmgmt
ipmipower	sysadmin-hostmgmt
ipmiseld	sysadmin-hostmgmt
ipmitool	ipmitool
ipptool	hardware-printing
iprange	openstack-common
ipset	openssh-server
iptables	iptables
iptables-legacy	iptables
iptables-legacy-restore	iptables
iptables-legacy-save	iptables
iptables-nft	iptables
iptables-nft-restore	iptables
iptables-nft-save	iptables
iptables-restore	iptables
iptables-restore-translate	iptables
iptables-save	iptables
iptables-translate	iptables
iptables-xml	iptables
iptceasy	devpkg-exiv2
iptcprint	devpkg-exiv2
iptctest	devpkg-exiv2
iptest	jupyter
iptest3	jupyter
iptraf	network-basic
ipvsadm	ipvsadm
ipvsadm-restore	ipvsadm
ipvsadm-save	ipvsadm
ipython	jupyter
ipython3	jupyter
ir-ctl	v4l-utils
ir-keytable	v4l-utils
irb	ruby-basic
ironic-api	openstack-common
ironic-api-wsgi	openstack-common
ironic-conductor	openstack-common
ironic-dbsync	openstack-common
ironic-rootwrap	openstack-common
ironic-status	openstack-common
irqbalance	hardware-uefi
irqbalance-ui	hardware-uefi
irssi	irssi
isadump	lm-sensors
isaset	lm-sensors
iscsi-gen-initiatorname	storage-utils
iscsi-iname	storage-utils
iscsi-inq	sysadmin-remote
iscsi-ls	sysadmin-remote
iscsi-perf	sysadmin-remote
iscsi-readcapacity16	sysadmin-remote
iscsi-swp	sysadmin-remote
iscsi_discovery	storage-utils
iscsi_fw_login	storage-utils
iscsi_offload	storage-utils
iscsiadm	storage-utils
iscsid	storage-utils
iscsistart	storage-utils
iscsiuio	storage-utils
isdv4-serial-debugger	devpkg-xf86-input-wacom
isdv4-serial-inputattach	devpkg-xf86-input-wacom
isisd	quagga
isnsadm	storage-utils-dev
isnsd	storage-utils-dev
isnsdd	storage-utils-dev
iso-info	os-utils-gui-dev
iso-read	os-utils-gui-dev
isohybrid	syslinux
isohybrid.pl	syslinux
isort	computer-vision-models
isosize	os-core
isotovideo	openqa
ispdb	desktop-kde-apps
ispellaff2myspell	kde-frameworks5-dev
isql	database-basic-dev
ister.py	os-installer
ister_gui.py	os-installer
isutf8	os-testsuite-0day
isympy	python-data-science
itstool	os-core-update-dev
iusql	database-basic-dev
iv	blender
ivshmem-client	kvm-host
ivshmem-server	kvm-host
ivtv-ctl	v4l-utils
iw	network-basic
iwpmd	storage-utils
ixplore	pdns
jadetex	texlive
jailer	containers-virt
jamo-normalize	texlive
jaotc11	java11-basic
jar	java-runtime
jar11	java11-basic
jar9	java9-basic
jarsigner	java-runtime
jarsigner11	java11-basic
jarsigner9	java9-basic
java	java-runtime
java-rmi.cgi	java-runtime
java11	java11-basic
java2html	dev-utils
java9	java9-basic
javac	java-runtime
javac11	java11-basic
javac9	java9-basic
javadoc	java-runtime
javadoc11	java11-basic
javadoc9	java9-basic
javah	java-runtime
javah9	java9-basic
javap	java-runtime
javap11	java11-basic
javap9	java9-basic
jcmd	java-runtime
jcmd11	java11-basic
jcmd9	java9-basic
jconsole	java-runtime
jconsole11	java11-basic
jconsole9	java9-basic
jdb	java-runtime
jdb11	java11-basic
jdb9	java9-basic
jdeprscan11	java11-basic
jdeprscan9	java9-basic
jdeps	java-runtime
jdeps11	java11-basic
jdeps9	java9-basic
jemalloc-config	database-basic-dev
jemalloc.sh	database-basic-dev
jeprof	database-basic-dev
jffs2dump	mtd-utils
jffs2reader	mtd-utils
jfmutil	texlive
jhat	java-runtime
jhsdb11	java11-basic
jhsdb9	java9-basic
jimage11	java11-basic
jimage9	java9-basic
jinfo	java-runtime
jinfo11	java11-basic
jinfo9	java9-basic
jjs	java-runtime
jjs11	java11-basic
jjs9	java9-basic
jlink11	java11-basic
jlink9	java9-basic
jlpm	jupyter
jmacs	joe
jmap	java-runtime
jmap11	java11-basic
jmap9	java9-basic
jmod11	java11-basic
jmod9	java9-basic
joe	joe
join	os-core
journalctl	os-core
journalprobe	devpkg-telemetrics-client
jp.py	cloud-api
jpegenc	libva-utils
jpegtran	devpkg-libjpeg-turbo
jpgicc	devpkg-lcms2
jpico	joe
jps	java-runtime
jps11	java11-basic
jps9	java9-basic
jq	jq
jrunscript	java-runtime
jrunscript11	java11-basic
jrunscript9	java9-basic
js24	qt-basic-dev
js24-config	qt-basic-dev
js52	devpkg-mozjs52
js52-config	devpkg-mozjs52
js60	devpkg-mozjs60
js60-config	devpkg-mozjs60
jsadebugd	java-runtime
jshell11	java11-basic
jshell9	java9-basic
json-glib-format	devpkg-json-glib
json-glib-validate	devpkg-json-glib
json_pp	perl-basic
json_reformat	kvm-host-dev
json_verify	kvm-host-dev
jsondiff	diffoscope
jsonpatch	openstack-common
jsonpointer	openstack-common
jsonschema	jupyter
jstack	java-runtime
jstack11	java11-basic
jstack9	java9-basic
jstar	joe
jstat	java-runtime
jstat11	java11-basic
jstat9	java9-basic
jstatd	java-runtime
jstatd11	java11-basic
jstatd9	java9-basic
jt4code	amateur-radio
jt65code	amateur-radio
jt9	amateur-radio
jt9code	amateur-radio
jupyter	jupyter
jupyter-bundlerextension	jupyter
jupyter-console	jupyter
jupyter-kernel	jupyter
jupyter-kernelspec	jupyter
jupyter-lab	jupyter
jupyter-labextension	jupyter
jupyter-labhub	jupyter
jupyter-migrate	jupyter
jupyter-nbconvert	jupyter
jupyter-nbextension	jupyter
jupyter-notebook	jupyter
jupyter-qtconsole	jupyter
jupyter-run	jupyter
jupyter-serverextension	jupyter
jupyter-trust	jupyter
jw	docbook-utils
jws	letsencrypt-client
k5srvutil	enterprise-login
kaccess	desktop-kde
kactivities-cli	kde-frameworks5
kadmin	enterprise-login
kadmin.local	enterprise-login
kadmind	enterprise-login
kafka-acls.sh	big-data-basic
kafka-configs.sh	big-data-basic
kafka-console-consumer.sh	big-data-basic
kafka-console-producer.sh	big-data-basic
kafka-consumer-groups.sh	big-data-basic
kafka-consumer-offset-checker.sh	big-data-basic
kafka-consumer-perf-test.sh	big-data-basic
kafka-mirror-maker.sh	big-data-basic
kafka-preferred-replica-election.sh	big-data-basic
kafka-producer-perf-test.sh	big-data-basic
kafka-reassign-partitions.sh	big-data-basic
kafka-replay-log-producer.sh	big-data-basic
kafka-replica-verification.sh	big-data-basic
kafka-run-class.sh	big-data-basic
kafka-server-start.sh	big-data-basic
kafka-server-stop.sh	big-data-basic
kafka-simple-consumer-shell.sh	big-data-basic
kafka-streams-application-reset.sh	big-data-basic
kafka-topics.sh	big-data-basic
kafka-verifiable-consumer.sh	big-data-basic
kafka-verifiable-producer.sh	big-data-basic
kalarm	desktop-kde-apps
kalarmautostart	desktop-kde-apps
kanagram	education-preschool
kanji-config-updmap	texlive
kanji-config-updmap-sys	texlive
kanji-config-updmap-user	texlive
kanji-fontmap-creator	texlive
kapidox_generate	desktop-kde-apps
kapman	desktop-kde-games
kapplymousetheme	desktop-kde
kapptemplate	desktop-kde-apps
kata-collect-data.sh	containers-virt
kata-qemu-lite-ga	containers-virt
kata-qemu-lite-pr-helper	containers-virt
kata-qemu-lite-system-x86_64	containers-virt
kata-runtime	containers-virt
kata-virtfs-lite-proxy-helper	containers-virt
kate	kate
katomic	desktop-kde-games
kbackup	desktop-kde-apps
kbd_mode	kbd
kbdinfo	kbd
kbdrate	kbd
kblackbox	desktop-kde-games
kblocks	desktop-kde-games
kbookmarkmerger	desktop-kde-apps
kbounce	desktop-kde-games
kbreakout	desktop-kde-games
kbroadcastnotification	desktop-kde
kbruch	education-primary
kbuildsycoca5	kde-frameworks5
kbxutil	cryptography
kcachegrind	kcachegrind
kcalc	kcalc
kcc	python-extras
kccachetest	desktop-dev
kcdirmgr	desktop-dev
kcdirtest	desktop-dev
kcforestmgr	desktop-dev
kcforesttest	desktop-dev
kcgrasstest	desktop-dev
kcharselect	desktop-kde-apps
kchashmgr	desktop-dev
kchashtest	desktop-dev
kcheckrunning	desktop-kde
kclangctest	desktop-dev
kcm-touchpad-list-devices	desktop-kde
kcminit	desktop-kde
kcminit_startup	desktop-kde
kcmshell5	desktop-kde
kcolorchooser	desktop-kde-apps
kcolorschemeeditor	desktop-kde
kcookiejar5	kde-frameworks5
kcpolymgr	desktop-dev
kcpolytest	desktop-dev
kcprototest	desktop-dev
kcstashtest	desktop-dev
kctreemgr	desktop-dev
kctreetest	desktop-dev
kcutilmgr	desktop-dev
kcutiltest	desktop-dev
kdb5_ldap_util	enterprise-login
kdb5_util	enterprise-login
kde-add-printer	desktop-kde
kde-open5	desktop-kde
kde-print-queue	desktop-kde
kde-systemsettings-tree.py	desktop-kde-apps
kde_generate_export_header	desktop-kde-apps
kdebugdialog5	containers-basic-dev
kdebugsettings	desktop-kde-apps
kdecp5	desktop-kde
kded5	desktop-kde
kdedoc	desktop-kde-apps
kdeinit5	desktop-kde
kdeinit5_shutdown	desktop-kde
kdeinit5_wrapper	desktop-kde
kdekillall	desktop-kde-apps
kdelnk2desktop.py	desktop-kde-apps
kdemangen.pl	desktop-kde-apps
kdemv5	desktop-kde
kdenlive	kdenlive
kdenlive_render	kdenlive
kdestroy	enterprise-login
kdf	desktop-kde-apps
kdialog	desktop-kde-apps
kdialog_progress_helper	desktop-kde-apps
kdiamond	desktop-kde-games
kdiff3	kdiff3
kdostartupconfig5	desktop-kde
keditbookmarks	desktop-kde-apps
keditfiletype5	desktop-kde
keepalived	keepalived
keepassxc	keepassxc
keepassxc-cli	keepassxc
keepassxc-proxy	keepassxc
kexec	os-cloudguest-azure
key-test	devpkg-exiv2
key.dns_resolver	os-core-dev
keychain	keychain
keyctl	os-core-dev
keyring	django
keystone-manage	openstack-common
keystone-wsgi-admin	openstack-common
keystone-wsgi-public	openstack-common
keytab-lilo	syslinux
keytool	java-runtime
keytool11	java11-basic
keytool9	java9-basic
kf5-config	containers-basic-dev
kf5kross	desktop-kde-games
kfind	desktop-kde-apps
kfloppy	desktop-kde-apps
kfmclient	konqueror
kfontinst	desktop-kde
kfontview	desktop-kde
kfourinline	desktop-kde-games
kfourinlineproc	desktop-kde-games
kgendesignerplugin	containers-basic-dev
kgeography	desktop-kde-apps
kget	desktop-kde-apps
kglobalaccel5	desktop-kde
kgoldrunner	desktop-kde-games
khal	productivity
khangman	education-preschool
khelpcenter	desktop-kde-apps
kibitz	tcl-basic
kiconfinder5	kde-frameworks5
kig	education-primary
kigo	desktop-kde-games
kill	os-core
kill_instance	cloud-api
killall	sysadmin-basic
killbots	desktop-kde-games
kimagemapeditor	desktop-kde-apps
kinfocenter	desktop-kde
kinit	enterprise-login
kioclient5	desktop-kde
kissutil	amateur-radio
kiten	desktop-kde-apps
kitengen	desktop-kde-apps
kitenkanjibrowser	desktop-kde-apps
kitenradselect	desktop-kde-apps
kjs5	kde-frameworks5
kjumpingcube	desktop-kde-games
kleopatra	kleopatra
klettres	education-preschool
klickety	desktop-kde-games
klines	desktop-kde-games
klipper	desktop-kde
klist	enterprise-login
klogscanner	devpkg-telemetrics-client
kmag	desktop-kde-apps
kmail	desktop-kde-apps
kmenuedit	desktop-kde
kmidiff	devpkg-libabigail
kmimetypefinder5	desktop-kde
kmines	desktop-kde-games
kmod	os-core
kmousetool	desktop-kde-apps
kmouth	desktop-kde-apps
kmplot	desktop-kde-apps
kms.sh	big-data-basic
knavalbattle	desktop-kde-games
knetattach	desktop-kde
knetwalk	desktop-kde-games
knotes	desktop-kde-apps
koi8rxterm	xterm
koji	koji
koji-gc	koji
koji-shadow	koji
kojid	koji
kojira	koji
kolf	desktop-kde-games
kollision	desktop-kde-games
kolourpaint	desktop-kde-apps
komkindex	texlive
konqueror	konqueror
konquest	desktop-kde-games
konsole	konsole
konsolekalendar	akonadi
konsoleprofile	konsole
konversation	konversation
kpackagelauncherqml	desktop-kde
kpackagetool5	desktop-kde
kpartloader	desktop-kde-apps
kpartx	storage-utils
kpasswd	enterprise-login
kprop	enterprise-login
kpropd	enterprise-login
kproplog	enterprise-login
kpseaccess	texlive
kpsepath	texlive
kpsereadlink	texlive
kpsestat	texlive
kpsetool	texlive
kpsewhere	texlive
kpsewhich	texlive
kpsexpand	texlive
kquitapp5	desktop-kde
krazy-licensecheck	desktop-kde-apps
krb5-config	enterprise-login
krb5-send-pr	enterprise-login
krb5kdc	enterprise-login
krdb	desktop-kde
krdc	desktop-kde-apps
kreadconfig5	kde-frameworks5
kreversi	desktop-kde-games
krita	krita
kruler	desktop-kde-games
krunner	desktop-kde
ks	cloud-native-basic
ksba-config	containers-basic-dev
kscreen-console	desktop-kde-apps
kscreen-doctor	desktop-kde-apps
kshell5	desktop-kde
kshisen	desktop-kde-games
ksirk	desktop-kde-games
ksirkskineditor	desktop-kde-games
ksmserver	desktop-kde
ksnakeduel	desktop-kde-games
kspaceduel	desktop-kde-games
ksplashqml	desktop-kde
ksquares	desktop-kde-games
ksshaskpass	desktop-kde
kstars	education-primary
kstart5	desktop-kde
kstartupconfig5	desktop-kde
ksu	enterprise-login
ksudoku	desktop-kde-games
ksvgtopng5	desktop-kde
kswitch	enterprise-login
ksysguard	ksysguard
ksysguardd	ksysguard
ksystemlog	desktop-kde-apps
kteatime	desktop-kde-games
ktelnetservice5	kde-frameworks5
ktimer	desktop-kde-apps
ktnef	desktop-kde-apps
ktp-debugger	desktop-kde-apps
ktraderclient5	desktop-kde
ktrash5	kde-frameworks5
ktuberling	education-preschool
kturtle	education-primary
ktutil	enterprise-login
kubeadm	cloud-native-basic
kubectl	cloud-native-basic
kubelet	cloud-native-basic
kubelet-version-check.sh	cloud-native-basic
kuiserver5	desktop-kde
kuiviewer	desktop-kde-apps
kvm_stat	linux-tools
kvno	enterprise-login
kwallet-query	kde-frameworks5
kwalletd5	kde-frameworks5
kwalletmanager5	desktop-kde-apps
kwatchgnupg	kleopatra
kwikdisk	desktop-kde-apps
kwin_wayland	desktop-kde
kwin_x11	desktop-kde
kwordquiz	education-primary
kwrapper5	desktop-kde
kwrite	kate
kwriteconfig5	kde-frameworks5
kwrited	desktop-kde
l2ping	hardware-bluetooth
l2test	hardware-bluetooth
l3build	texlive
l4p-tmpl	perl-extras
lacheck	texlive
lamed	texlive
largeiptc-test	devpkg-exiv2
last	os-core
lastb	os-core
lastlog	os-core
latencytop	performance-tools
latex	texlive
latex-git-log	texlive
latex-papersize	texlive
latex2man	texlive
latex2nemeth	texlive
latexdef	texlive
latexdiff	texlive
latexdiff-vc	texlive
latexfileversion	texlive
latexindent	texlive
latexmk	texlive
latexpand	texlive
latexrevise	texlive
latte-dock	latte-dock
launch_instance	cloud-api
lc	mono
lchage	devpkg-libuser
lchfn	devpkg-libuser
lchsh	devpkg-libuser
lckdo	os-testsuite-0day
lconvert	devpkg-qttools
lcov	dev-utils
ld	binutils
ld.bfd	binutils
ld.gold	c-basic
ld.lld	llvm
ld64.lld	llvm
ld_iscsi.so	sysadmin-remote
ldapadd	openldap
ldapcompare	openldap
ldapdelete	openldap
ldapexop	openldap
ldapmodify	openldap
ldapmodrdn	openldap
ldappasswd	openldap
ldapsearch	openldap
ldapurl	openldap
ldapwhoami	openldap
ldattach	os-core
ldbadd	storage-utils-dev
ldbdel	storage-utils-dev
ldbedit	storage-utils-dev
ldbmodify	storage-utils-dev
ldbrename	storage-utils-dev
ldbsearch	storage-utils-dev
ldc-build-runtime	d-basic
ldc-profdata	d-basic
ldc-prune-cache	d-basic
ldc2	d-basic
ldconfig	os-core
ldd	sysadmin-basic
lddlibc4	lib-opengl
ldmd2	d-basic
lensfun-add-adapter	desktop-dev
lensfun-update-data	desktop-dev
less	less
less2scss	django
lessecho	less
lesskey	less
lexgrog	man-pages
lftp	lftp
lftpget	lftp
lgroupadd	devpkg-libuser
lgroupdel	devpkg-libuser
lgroupmod	devpkg-libuser
libassuan-config	devpkg-libassuan
libdeps.py	os-clr-on-clr
libevdev-tweak-device	devpkg-libevdev
libftdi1-config	maker-basic
libgcrypt-config	os-core-dev
libgtop_daemon2	devpkg-libgtop
libgtop_server2	devpkg-libgtop
libinput	desktop
libnetcfg	perl-basic
libpng-config	devpkg-libpng
libpng16-config	devpkg-libpng
librados-config	ceph
libreoffice	libreoffice
libtool	c-basic
libtoolize	c-basic
libvirtd	kvm-host
libwacom-list-local-devices	devpkg-libwacom
lid	devpkg-libuser
lightdm	lightdm
lightdm-session	lightdm
lily-glyph-commands	texlive
lily-image-commands	texlive
lily-rebuild-pdfs	texlive
linguist	devpkg-qttools
link	os-core
linkicc	devpkg-lcms2
links	network-basic
linux64	os-core
list_instances	cloud-api
listbib	texlive
listings-ext.sh	texlive
listnewconfig	service-os-dev
lkbib	man-pages
ll2utm	amateur-radio
llc	llvm
lld	llvm
lld-link	llvm
lldpad	performance-tools
lldptool	performance-tools
lli	llvm
lli-child-target	llvm
llvm-PerfectShuffle	llvm
llvm-ar	llvm
llvm-as	llvm
llvm-bcanalyzer	llvm
llvm-c-test	llvm
llvm-cat	llvm
llvm-cfi-verify	llvm
llvm-config	llvm
llvm-cov	llvm
llvm-cvtres	llvm
llvm-cxxdump	llvm
llvm-cxxfilt	llvm
llvm-cxxmap	llvm
llvm-diff	llvm
llvm-dis	llvm
llvm-dlltool	llvm
llvm-dwarfdump	llvm
llvm-dwp	llvm
llvm-elfabi	llvm
llvm-exegesis	llvm
llvm-extract	llvm
llvm-lib	llvm
llvm-link	llvm
llvm-lto	llvm
llvm-lto2	llvm
llvm-mc	llvm
llvm-mca	llvm
llvm-modextract	llvm
llvm-mt	llvm
llvm-nm	llvm
llvm-objcopy	llvm
llvm-objdump	llvm
llvm-opt-report	llvm
llvm-pdbutil	llvm
llvm-profdata	llvm
llvm-ranlib	llvm
llvm-rc	llvm
llvm-readelf	llvm
llvm-readobj	llvm
llvm-rtdyld	llvm
llvm-size	llvm
llvm-spirv	llvm
llvm-split	llvm
llvm-stress	llvm
llvm-strings	llvm
llvm-strip	llvm
llvm-symbolizer	llvm
llvm-tblgen	llvm
llvm-undname	llvm
llvm-xray	llvm
ln	os-core
lneato	graphviz
lnewusers	devpkg-libuser
lnstat	os-core
loadjpeg	libva-utils
loadkeys	kbd
loadunimap	kbd
lobase	libreoffice
local_lsmplugin	sysadmin-remote
localc	libreoffice
locale	os-core
localectl	os-core
localedef	glibc-locale
locate	findutils
lockfile	mail-utils
locktest	samba
lockutils-wrapper	openstack-common
lodraw	libreoffice
loffice	libreoffice
lofromtemplate	libreoffice
log2gpx	amateur-radio
logger	os-core
login	os-core
loginctl	os-core
logname	os-core
logoutd	os-core
logresolve	httpd
logrotate	logrotate
logsave	storage-utils
loimpress	libreoffice
lokalize	desktop-kde-apps
lollipop	texlive
lomath	libreoffice
look	os-core
lookandfeeltool	desktop-kde
lookbib	man-pages
losetup	os-core
loweb	libreoffice
lowntfs-3g	storage-utils
lowriter	libreoffice
lp	hardware-printing
lpadmin	hardware-printing
lpasswd	devpkg-libuser
lpc	hardware-printing
lpinfo	hardware-printing
lpmove	hardware-printing
lpoptions	hardware-printing
lpq	hardware-printing
lpr	hardware-printing
lprm	hardware-printing
lprsetup.sh	desktop
lpstat	hardware-printing
lpunlock	tcl-basic
lrelease	devpkg-qttools
ls	os-core
lsacpi	sysadmin-basic
lsattr	os-core
lsblk	os-core
lscgroup	devpkg-libcgroup
lscpu	os-core
lsdiff	dev-utils
lshw	sysadmin-basic
lsi-exec	games
lsi-settings	games
lsinitrd	sysadmin-basic
lsipc	os-core
lskat	desktop-kde-games
lslocks	os-core
lslogins	os-core
lsmcli	sysadmin-remote
lsmd	sysadmin-remote
lsmem	os-core
lsmod	os-core
lsmtd	mtd-utils
lsns	os-core
lsof	sysadmin-basic
lspci	sysadmin-basic
lss16toppm	syslinux
lss3	cloud-api
lsscsi	storage-utils
lssubsys	devpkg-libcgroup
lstopo-no-graphics	hwloc
lsusb	sysadmin-basic
lsusb.py	sysadmin-basic
ltdbtool	samba
ltp-bump	ltp
ltp-pan	ltp
ltrace	performance-tools
ltx2crossrefxml	texlive
ltxfileinfo	texlive
ltximg	texlive
lua	lua-basic
lua2dox_filter	texlive
lua5.2	lua-basic
luac	lua-basic
luac5.2	lua-basic
luajit	lua-basic
luajit-2.0.5	lua-basic
luajittex	texlive
lualatex	texlive
luaotfload-tool	texlive
luarocks	lua-basic
luarocks-admin	lua-basic
luatex	texlive
luatex53	texlive
luatools	texlive
lupdate	devpkg-qttools
luseradd	devpkg-libuser
luserdel	devpkg-libuser
lusermod	devpkg-libuser
lvchange	boot-encrypted
lvconvert	boot-encrypted
lvcreate	boot-encrypted
lvdisplay	boot-encrypted
lvextend	boot-encrypted
lvm	boot-encrypted
lvmconf	boot-encrypted
lvmconfig	boot-encrypted
lvmdiskscan	boot-encrypted
lvmdump	boot-encrypted
lvmetad	boot-encrypted
lvmsadc	boot-encrypted
lvmsar	boot-encrypted
lvreduce	boot-encrypted
lvremove	boot-encrypted
lvrename	boot-encrypted
lvresize	boot-encrypted
lvs	boot-encrypted
lvscan	boot-encrypted
lwarpmk	texlive
lwp-download	perl-basic
lwp-dump	perl-basic
lwp-mirror	perl-basic
lwp-request	perl-basic
lxqt-about	desktop-lxqt
lxqt-admin-time	desktop-lxqt
lxqt-admin-user	desktop-lxqt
lxqt-admin-user-helper	desktop-lxqt
lxqt-config	desktop-lxqt
lxqt-config-appearance	desktop-lxqt
lxqt-config-brightness	desktop-lxqt
lxqt-config-file-associations	desktop-lxqt
lxqt-config-globalkeyshortcuts	desktop-lxqt
lxqt-config-input	desktop-lxqt
lxqt-config-locale	desktop-lxqt
lxqt-config-monitor	desktop-lxqt
lxqt-config-notificationd	desktop-lxqt
lxqt-config-powermanagement	desktop-lxqt
lxqt-config-session	desktop-lxqt
lxqt-globalkeysd	desktop-lxqt
lxqt-leave	desktop-lxqt
lxqt-notificationd	desktop-lxqt
lxqt-openssh-askpass	desktop-lxqt
lxqt-panel	desktop-lxqt
lxqt-policykit-agent	desktop-lxqt
lxqt-powermanagement	desktop-lxqt
lxqt-runner	desktop-lxqt
lxqt-session	desktop-lxqt
lxqt-sudo	desktop-lxqt
lxqt-transupdate	desktop-lxqt
lxsu	desktop-lxqt
lxsudo	desktop-lxqt
lxt2miner	gtkwave
lxt2vcd	gtkwave
lyx	LyX
lyxclient	LyX
lz4	lz4
lz4c	lz4
lz4cat	lz4
lzcat	xz
lzcmp	xz
lzdiff	xz
lzegrep	xz
lzfgrep	xz
lzgrep	xz
lzip	plzip
lzless	xz
lzma	xz
lzmadec	xz
lzmainfo	xz
lzmore	xz
m-tx	texlive
m4	c-basic
mac2unix	sysadmin-basic
machinectl	os-core
macpack	mono
mag	texlive
magick	ImageMagick
magick-script	ImageMagick
mail	mutt
mailstat	mail-utils
make	make
make-bcache	bcache-tools
make-file.sh	ltp
make4ht	texlive
make_metadata.py	openstack-common
makealias	kde-frameworks5-dev
makecert	mono
makeconv	devpkg-icu4c
makedepend	dev-utils-dev
makedtx	texlive
makeglossaries	texlive
makeglossaries-lite	texlive
makehrtf	qt-basic-dev
makeindex	texlive
makeinfo	texinfo
makejvf	texlive
makeobj	desktop-kde-apps
maketext	perl-extras
maketx	blender
mako-render	ceph
man	man-pages
mandb	man-pages
